reading:../../blast/eco_K12_W3110.prot.fa  cutoff:1e-08
JW0006-MONOMER	476
JW0009-MONOMER	188
JW0018-MONOMER	388
JW0039-MONOMER	504
JW0044-MONOMER	443
JW0045-MONOMER	176
JW0046-MONOMER	620
JW0049-MONOMER	125
JW0065-MONOMER	232
JW0066-MONOMER	536
JW0067-MONOMER	327
JW0069-MONOMER	392
JW0108-MONOMER	457
JW0123-MONOMER	308
JW0124-MONOMER	256
JW0125-MONOMER	146
JW0146-MONOMER	747
JW0147-MONOMER	265
JW0148-MONOMER	296
JW0149-MONOMER	660
JW0154-MONOMER	266
JW0193-MONOMER	271
JW0194-MONOMER	217
JW0195-MONOMER	343
JW0254-MONOMER	348
JW0263-MONOMER	460
JW0306-MONOMER	677
JW0320-MONOMER	223
JW0327-MONOMER	419
JW0332-MONOMER	384
JW0334-MONOMER	417
JW0357-MONOMER	320
JW0358-MONOMER	255
JW0359-MONOMER	275
JW0368-MONOMER	406
JW0386-MONOMER	394
JW0391-MONOMER	439
JW0423-MONOMER	491
JW0435-MONOMER	566
JW0438-MONOMER	590
JW0451-MONOMER	1049
JW0452-MONOMER	397
JW0454-MONOMER	1120
JW0467-MONOMER	558
JW0468-MONOMER	406
JW0473-MONOMER	834
JW0475-MONOMER	430
JW0479-MONOMER	225
JW0484-MONOMER	228
JW0499-MONOMER	484
JW0501-MONOMER	433
JW0521-MONOMER	867
JW0561-MONOMER	457
JW0563-MONOMER	407
JW0564-MONOMER	1047
JW0565-MONOMER	458
JW0566-MONOMER	415
JW0580-MONOMER	271
JW0581-MONOMER	330
JW0582-MONOMER	334
JW0583-MONOMER	416
JW0584-MONOMER	318
JW0604-MONOMER	487
JW0613-MONOMER	158
JW0616-MONOMER	363
JW0647-MONOMER	241
JW0648-MONOMER	224
JW0649-MONOMER	246
JW0655-MONOMER	292
JW0665-MONOMER	648
JW0679-MONOMER	439
JW0687-MONOMER	29
JW0699-MONOMER	493
JW0720-MONOMER	658
JW0734-MONOMER	239
JW0735-MONOMER	313
JW0743-MONOMER	490
JW0746-MONOMER	257
JW0747-MONOMER	229
JW0748-MONOMER	352
JW0753-MONOMER	477
JW0777-MONOMER	377
JW0779-MONOMER	332
JW0790-MONOMER	760
JW0794-MONOMER	240
JW0795-MONOMER	219
JW0796-MONOMER	248
JW0798-MONOMER	295
JW0802-MONOMER	372
JW0804-MONOMER	530
JW0815-MONOMER	306
JW0816-MONOMER	303
JW0826-MONOMER	410
JW0829-MONOMER	402
JW0831-MONOMER	561
JW0838-MONOMER	370
JW0840-MONOMER	317
JW0841-MONOMER	281
JW0844-MONOMER	243
JW0845-MONOMER	222
JW0846-MONOMER	238
JW0847-MONOMER	243
JW0848-MONOMER	242
JW0858-MONOMER	299
JW0862-MONOMER	371
JW0881-MONOMER	382
JW0887-MONOMER	285
JW0916-MONOMER	255
JW0919-MONOMER	319
JW0932-MONOMER	635
JW0966-MONOMER	379
JW1001-MONOMER	502
JW1021-MONOMER	138
JW1022-MONOMER	129
