reading:../../blast/closdiff.prot.fa  cutoff:1e-08
GJED-2795-MONOMER	231
GJED-1379-MONOMER	58
GJED-383-MONOMER	68
GJED-3165-MONOMER	251
GJED-3151-MONOMER	181
GJED-1378-MONOMER	79
GJED-1753-MONOMER	246
GJED-2780-MONOMER	206
GJED-559-MONOMER	165
GJED-422-MONOMER	70
GJED-1569-MONOMER	60
GJED-1729-MONOMER	180
GJED-2275-MONOMER	199
GJED-952-MONOMER	416
GJED-382-MONOMER	131
GJED-3243-MONOMER	222
GJED-2794-MONOMER	225
GJED-2859-MONOMER	625
GJED-2575-MONOMER	117
GJED-421-MONOMER	202
GJED-1825-MONOMER	361
GJED-646-MONOMER	46
GJED-2913-MONOMER	293
GJED-3045-MONOMER	104
GJED-730-MONOMER	227
GJED-2431-MONOMER	112
GJED-557-MONOMER	283
GJED-2014-MONOMER	158
GJED-3430-MONOMER	248
GJED-2190-MONOMER	364
GJED-1192-MONOMER	174
GJED-2273-MONOMER	467
GJED-2091-MONOMER	207
GJED-3044-MONOMER	249
GJED-380-MONOMER	138
GJED-1568-MONOMER	97
GJED-659-MONOMER	267
GJED-556-MONOMER	156
GJED-1191-MONOMER	148
GJED-1371-MONOMER	142
GJED-290-MONOMER	343
GJED-3428-MONOMER	234
GJED-3042-MONOMER	375
GJED-1613-MONOMER	135
GJED-1370-MONOMER	197
GJED-414-MONOMER	362
GJED-645-MONOMER	73
GJED-1567-MONOMER	508
GJED-3096-MONOMER	308
GJED-1576-MONOMER	678
GJED-1727-MONOMER	359
GJED-658-MONOMER	122
GJED-1190-MONOMER	238
GJED-2269-MONOMER	91
GJED-1368-MONOMER	314
GJED-2509-MONOMER	250
GJED-1665-MONOMER	57
GJED-1080-MONOMER	314
GJED-3039-MONOMER	388
GJED-412-MONOMER	166
GJED-1366-MONOMER	194
GJED-2089-MONOMER	352
GJED-1975-MONOMER	134
GJED-657-MONOMER	359
GJED-3584-MONOMER	191
GJED-1189-MONOMER	124
GJED-1821-MONOMER	417
GJED-1913-MONOMER	286
GJED-2152-MONOMER	388
GJED-2266-MONOMER	306
GJED-411-MONOMER	147
GJED-375-MONOMER	467
GJED-2790-MONOMER	194
GJED-1250-MONOMER	46
GJED-3582-MONOMER	210
GJED-644-MONOMER	76
GJED-1974-MONOMER	198
GJED-656-MONOMER	176
GJED-410-MONOMER	303
GJED-2844-MONOMER	66
GJED-863-MONOMER	394
GJED-3581-MONOMER	87
GJED-1361-MONOMER	268
GJED-3580-MONOMER	61
GJED-1077-MONOMER	199
GJED-2416-MONOMER	352
GJED-1249-MONOMER	222
GJED-3237-MONOMER	253
GJED-2188-MONOMER	398
GJED-1359-MONOMER	115
GJED-1819-MONOMER	165
GJED-408-MONOMER	214
GJED-944-MONOMER	140
GJED-1897-MONOMER	123
GJED-3236-MONOMER	92
GJED-2569-MONOMER	87
GJED-1355-MONOMER	211
GJED-3036-MONOMER	148
GJED-406-MONOMER	247
GJED-547-MONOMER	392
GJED-1354-MONOMER	197
GJED-742-MONOMER	380
GJED-3235-MONOMER	191
GJED-2011-MONOMER	90
GJED-280-MONOMER	218
GJED-209-MONOMER	39
GJED-546-MONOMER	164
GJED-1867-MONOMER	60
GJED-545-MONOMER	265
GJED-1351-MONOMER	158
GJED-642-MONOMER	297
GJED-3145-MONOMER	94
GJED-1186-MONOMER	189
GJED-2413-MONOMER	279
GJED-3379-MONOMER	84
GJED-2960-MONOMER	205
GJED-1246-MONOMER	132
GJED-2023-MONOMER	363
GJED-1349-MONOMER	147
GJED-708-MONOMER	465
GJED-3575-MONOMER	106
GJED-1070-MONOMER	469
GJED-1742-MONOMER	206
GJED-2138-MONOMER	117
GJED-2412-MONOMER	235
GJED-740-MONOMER	307
GJED-3033-MONOMER	430
GJED-2010-MONOMER	191
GJED-1185-MONOMER	105
GJED-652-MONOMER	193
GJED-1347-MONOMER	296
GJED-1896-MONOMER	281
GJED-370-MONOMER	140
GJED-1558-MONOMER	255
GJED-3574-MONOMER	308
GJED-1069-MONOMER	400
GJED-940-MONOMER	154
GJED-1245-MONOMER	209
GJED-208-MONOMER	370
GJED-2567-MONOMER	252
GJED-707-MONOMER	335
GJED-3032-MONOMER	336
GJED-1068-MONOMER	378
GJED-3378-MONOMER	177
